slug,title,purpose,categories,source_url,secretariat,website,registered_contact_name,date_of_most_recent_agm
australia-and-new-zealand-anzac-and-the-pacific-islands,All-Party Parliamentary Group for Australia and New Zealand (ANZAC) and the Pacific Islands,"To strengthen relations between the parliamentarians and peoples of Australia, New Zealand, and the Pacific region; to discuss areas of mutual interest between the United Kingdom and the Pacific region; to host their respective politicians who are visiting the United Kingdom; and to constructively work with the High Commissions, Honorary Consuls, and Agents-General.",Country Group,https://publications.parliament.uk/pa/cm/cmallparty/260223/australia-and-new-zealand-anzac-and-the-pacific-islands.htm,,None,Andrew Rosindell MP,2025-12-02 00:00:00
australia-united-kingdom-and-united-states-of-america-aukus,"All-Party Parliamentary Group on Australia, United Kingdom and United States of America (AUKUS)","To raise awareness and understanding of the AUKUS security pact and its implications for the UK including the important opportunities for economic growth. The group will work with Government, NGOs, think tanks, the MOD and its agencies, industry, and experts, to understand the opportunities and risks flowing from the multiple programmes of work that AUKUS represents, and why this programme matters to the UK.","International Affairs, Development & Trade|Economy, Business & Industry|Justice, Law & Security|Country Group",https://publications.parliament.uk/pa/cm/cmallparty/260223/australia-united-kingdom-and-united-states-of-america-aukus.htm,The Council on Geostrategy acts as the group's secretariat.https://www.geostrategy.org.uk/,https://www.simonfell.org/aukus,Michelle Scrogham MP,2025-12-10 00:00:00
autism,All-Party Parliamentary Group on Autism,"To raise awareness of issues affecting autistic people, their families and carers; to raise parliamentary awareness of autism; to campaign for changes to government policy to benefit autistic people and improve diagnosis or support for autistic people.","Health, Medicine & Public Health|Social Care, Welfare & Family Support",https://publications.parliament.uk/pa/cm/cmallparty/260223/autism.htm,National Autistic Society acts as the group's secretariat.http://www.autism.org.uk/,https://www.autism.org.uk/what-we-do/campaign/england/how-we-work-with-parliament/all-party-parliamentary-group,Alison Hume MP,2025-11-25 00:00:00
aviation,All-Party Parliamentary Group on Aviation,"To promote the objective - as set out by the British Government - of making the UK the best country in the world for aviation through inspiring both current and future generations to take up science, technology, engineering and mathematics, thereby creating high-tech jobs and growth in our economy.","Infrastructure, Transport & Mobility|Science, Technology & Innovation|Economy, Business & Industry",https://publications.parliament.uk/pa/cm/cmallparty/260223/aviation.htm,,https://aviationappg.uk/,Tim Roca MP,2024-10-23 00:00:00
aviation-travel-and-aerospace,"All-Party Parliamentary Group for the Future of Aviation, Travel and Aerospace","To promote and support knowledge of all aspects of the aviation, travel and aerospace sectors in parliament and government and to provide a collective space for all parliamentarians to discuss the challenges and opportunities that these industries face.","Infrastructure, Transport & Mobility|Science, Technology & Innovation",https://publications.parliament.uk/pa/cm/cmallparty/260223/aviation-travel-and-aerospace.htm,Tendo Consulting acts as the group's secretariat.https://www.tendoconsulting.co.uk/,None,Luke Taylor MP,2025-12-03 00:00:00
babies-pregnancy-to-age-2,All-Party Parliamentary Group on Babies (Pregnancy to Age 2),"To champion the needs of vulnerable babies who need support. Recognising the first 1001 days is a crucial period of development, when adverse experiences affect future outcomes, we aim to help government make informed decisions about early years policy, grounded in evidence and the experience of families, babies and professionals.","Social Care, Welfare & Family Support|Health, Medicine & Public Health",https://publications.parliament.uk/pa/cm/cmallparty/260223/babies-pregnancy-to-age-2.htm,Parent-Infant Foundation acts as the group's secretariat.https://parentinfantfoundation.org.uk,https://parentinfantfoundation.org.uk/1001-days/appg/,Maya Ellis MP,2024-10-29 00:00:00
baby-loss,All-Party Parliamentary Group on Baby Loss,"To raise awareness of what more can be done by the government, Parliament and other agencies to improve care for families after baby loss and to improve safety in maternity services and reduce the risks.","Health, Medicine & Public Health|Social Care, Welfare & Family Support",https://publications.parliament.uk/pa/cm/cmallparty/260223/baby-loss.htm,Sands acts as the group's secretariat.https://www.sands.org.uk/,https://www.sands.org.uk/appg,Andy MacNae MP,2024-12-10 00:00:00
bahai-faith,All-Party Parliamentary Group on the Baha'i Faith,"To raise awareness on the Bahá'í faith and the efforts of the Bahá'í community to contribute to some of the current discourses in British society, and to seek action in respect of the persecution of Bahá'ís in Iran and other states in instances where Bahá'ís are subject to discrimination on the grounds of their faith.","Religion, Faith & Belief Communities|Human Rights, Equality & Social Justice|International Affairs, Development & Trade",https://publications.parliament.uk/pa/cm/cmallparty/260223/bahai-faith.htm,"Office of Public Affairs, Baha'i Community of the UK acts as the group's secretariat.https://www.publicaffairs.bahai.org.uk/",https://www.publicaffairs.bahai.org.uk/government-relations,Mr Alistair Carmichael MP,2025-09-03 00:00:00
bahrain,Bahrain All-Party Parliamentary Group,To foster good relationships between the UK and Bahrain and to assist in raising awareness amongst parliamentarians and the public of the developments that have been taking place in Bahrain.,Country Group,https://publications.parliament.uk/pa/cm/cmallparty/260223/bahrain.htm,,None,Afzal Khan MP,2025-04-29 00:00:00
baking-industry,All-Party Parliamentary Group for the Baking Industry,"A group to discuss concerns of and advocate for the members of the baking industry, flour millers, wheat farmers, and all the people behind the loaf.","Economy, Business & Industry|Food, Agriculture & Rural Affairs",https://publications.parliament.uk/pa/cm/cmallparty/260223/baking-industry.htm,The Craft Bakers Assosciation acts as the group's secretariat.https://www.craftbakersassociation.co.uk/,None,Steff Aquarone MP,2025-09-09 00:00:00
